date,time,stress,smoked
2014-08-19,17:02:54,0.126478,-1
2014-08-19,17:02:55,0.126904,-1
2014-08-19,17:02:56,0.117886,-1
2014-08-19,17:02:57,0.124062,-1
2014-08-19,17:02:58,0.118138,-1
2014-08-19,17:02:59,0.112185,-1
2014-08-19,17:03:00,0.10632,-1
2014-08-19,17:03:01,0.156435,-1
2014-08-19,17:03:02,0.157604,-1
2014-08-19,17:03:03,0.125745,-1
2014-08-19,17:03:04,0.145908,-1
2014-08-19,17:03:05,0.134052,-1
2014-08-19,17:03:07,0.106389,-1
2014-08-19,17:03:08,0.105894,-1
2014-08-19,17:03:09,0.102783,-1
2014-08-19,17:03:10,0.130146,-1
2014-08-19,17:03:11,0.103462,-1
2014-08-19,17:03:13,0.115688,-1
2014-08-19,17:03:14,0.122869,-1
2014-08-19,17:03:15,0.132294,-1
2014-08-19,17:03:16,0.136203,-1
2014-08-19,17:03:17,0.129343,-1
2014-08-19,17:03:18,0.139926,-1
2014-08-19,17:03:19,0.139006,-1
2014-08-19,17:03:20,0.110848,-1
2014-08-19,17:03:22,0.105187,-1
2014-08-19,17:03:23,0.122847,-1
2014-08-19,17:03:24,0.122847,-1
2014-08-19,17:03:25,0.142385,-1
2014-08-19,17:03:26,0.154554,-1
2014-08-19,17:03:27,0.147793,-1
2014-08-19,17:03:28,0.140127,-1
2014-08-19,17:03:29,0.1446,-1
2014-08-19,17:03:30,0.153112,-1
2014-08-19,17:03:31,0.152144,-1
2014-08-19,17:03:32,0.178681,-1
2014-08-19,17:03:33,0.164597,-1
2014-08-19,17:03:34,0.167978,-1
2014-08-19,17:03:35,0.184678,-1
2014-08-19,17:03:36,0.225322,-1
2014-08-19,17:03:37,0.276055,-1
2014-08-19,17:03:38,0.223337,-1
2014-08-19,17:03:39,0.249501,-1
2014-08-19,17:03:40,0.250555,-1
2014-08-19,17:03:41,0.338547,-1
2014-08-19,17:03:42,0.328447,-1
2014-08-19,17:03:43,0.327369,-1
2014-08-19,17:03:44,0.344101,-1
2014-08-19,17:03:45,0.358426,-1
2014-08-19,17:03:46,0.362995,-1
2014-08-19,17:03:47,0.343909,-1
2014-08-19,17:03:48,0.349609,-1
2014-08-19,17:03:49,0.304342,-1
2014-08-19,17:03:50,0.25646,-1
2014-08-19,17:03:51,0.255989,-1
2014-08-19,17:03:52,0.254686,-1
2014-08-19,17:03:53,0.253368,-1
2014-08-19,17:03:54,0.235753,-1
2014-08-19,17:03:55,0.21456,-1
2014-08-19,17:03:56,0.239812,-1
2014-08-19,17:03:57,0.257818,-1
2014-08-19,17:03:58,0.294409,-1
2014-08-19,17:03:59,0.277841,-1
2014-08-19,17:04:00,0.34993,-1
2014-08-19,17:04:01,0.379488,-1
2014-08-19,17:04:02,0.352324,-1
2014-08-19,17:04:03,0.351803,-1
2014-08-19,17:04:04,0.396648,-1
2014-08-19,17:04:05,0.367058,-1
2014-08-19,17:04:06,0.344608,-1
2014-08-19,17:04:07,0.371315,-1
2014-08-19,17:04:08,0.352789,-1
2014-08-19,17:04:09,0.360155,-1
2014-08-19,17:04:10,0.364376,-1
2014-08-19,17:04:11,0.371686,-1
2014-08-19,17:04:12,0.374186,-1
2014-08-19,17:04:13,0.35213,-1
2014-08-19,17:04:14,0.354415,-1
2014-08-19,17:04:15,0.370157,-1
2014-08-19,17:04:16,0.417897,-1
2014-08-19,17:04:17,0.417372,-1
2014-08-19,17:04:18,0.418836,-1
2014-08-19,17:04:19,0.41534,-1
2014-08-19,17:04:20,0.424985,-1
2014-08-19,17:04:21,0.422651,-1
2014-08-19,17:04:22,0.411465,-1
2014-08-19,17:04:23,0.413274,-1
2014-08-19,17:04:24,0.447799,-1
2014-08-19,17:04:25,0.434257,-1
2014-08-19,17:04:26,0.33071,-1
2014-08-19,17:04:27,0.331049,-1
2014-08-19,17:04:28,0.354401,-1
2014-08-19,17:04:29,0.316677,-1
2014-08-19,17:04:30,0.298839,-1
2014-08-19,17:04:31,0.279895,-1
2014-08-19,17:04:32,0.264901,-1
2014-08-19,17:04:33,0.240448,-1
2014-08-19,17:04:34,0.2061,-1
2014-08-19,17:04:35,0.15968,-1
2014-08-19,17:04:36,0.156318,-1
2014-08-19,17:04:38,0.118527,-1
2014-08-19,17:04:39,0.108337,-1
2014-08-19,17:04:40,0.109817,-1
2014-08-19,17:04:41,0.111536,-1
2014-08-19,17:04:42,0.119224,-1
2014-08-19,17:04:43,0.101056,-1
2014-08-19,17:27:24,0.117231,-1
2014-08-19,17:29:59,0.961323,-1
2014-08-19,17:30:00,0.961038,-1
2014-08-19,17:30:01,0.960523,-1
2014-08-19,17:30:02,0.969166,-1
2014-08-19,17:30:03,0.969336,-1
2014-08-19,17:30:04,0.962812,-1
2014-08-19,17:30:05,0.962789,-1
2014-08-19,17:30:06,0.962753,-1
2014-08-19,17:30:33,0.661205,-1
2014-08-19,17:30:34,0.72297,-1
2014-08-19,17:30:35,0.72297,-1
2014-08-19,17:30:36,0.710721,-1
2014-08-19,17:30:37,0.654519,-1
2014-08-19,17:30:38,0.670265,-1
2014-08-19,17:30:39,0.628492,-1
2014-08-19,17:30:40,0.628396,-1
2014-08-19,17:30:41,0.626301,-1
2014-08-19,17:30:42,0.597239,-1
2014-08-19,17:30:43,0.658936,-1
2014-08-19,17:30:44,0.648521,-1
2014-08-19,17:30:45,0.660004,-1
2014-08-19,17:30:46,0.666408,-1
2014-08-19,17:30:47,0.667827,-1
2014-08-19,17:30:48,0.680882,-1
2014-08-19,17:30:49,0.210577,-1
2014-08-19,17:30:50,0.223641,-1
2014-08-19,17:30:51,0.22866,-1
2014-08-19,17:30:59,0.144513,-1
2014-08-19,17:31:00,0.144513,-1
2014-08-19,17:31:01,0.166903,-1
2014-08-19,17:31:06,0.129269,-1
2014-08-19,17:31:07,0.129096,-1
2014-08-19,17:31:08,0.142763,-1
2014-08-19,17:31:09,0.212892,-1
2014-08-19,17:31:10,0.293384,-1
2014-08-19,17:31:12,0.405119,-1
2014-08-19,17:31:13,0.402088,-1
2014-08-19,17:31:14,0.40189,-1
2014-08-19,17:31:16,0.402088,-1
2014-08-19,17:31:17,0.17363,-1
2014-08-19,17:31:18,0.148537,-1
2014-08-19,17:31:19,0.130742,-1
2014-08-19,17:31:20,0.103881,-1
2014-08-19,17:31:21,0.159785,-1
2014-08-19,17:31:22,0.190922,-1
